tag_name,relative_popularity
covid,63.29032258064516
covid-19,1.0
coronavirus,6.870967741935484
live,22.193548387096776
colombia,0.06451612903225806
tony blair,0.12534562211981565
betty white,0.21566820276497695
newspapers,0.061751152073732704
animals,0.3539170506912442
russia,0.4078731547293603
harry potter,0.825587752870421
oregon,0.03280481137233461
climate change,0.06014215418261345
ukraine,0.34582248046483677
vladimir putin,0.008415147265077139
omicron,0.5702264075335605
migrant crossings,0.0
kenya,0.3741935483870968
ghislaine maxwell,0.11612903225806454
jeffrey epstein,0.05161290322580645
weather,25.225806451612904
arthur labinjo-hughes,0.0014336917562724012
prince andrew,0.3426523297491039
wales,1.243010752688172
cop26,0.015770609318996414
extreme weather,0.0039100684261974585
climate crisis,0.0016884386385852663
data and forensics,0.0007109215320359015
thailand,0.1875944192659735
vaccination,0.2640292148508825
