date;mark drakeford;Banking ;benjamin netanyahu;Gardens;air travel;isPartial
2022-01-02;1;81;0;40;2;False
2022-01-09;1;90;0;44;3;False
2022-01-16;1;87;0;39;2;False
2022-01-23;1;91;0;43;2;False
2022-01-30;0;97;0;44;3;False
2022-02-06;0;83;0;44;3;False
2022-02-13;0;77;0;43;3;False
2022-02-20;0;87;0;46;3;False
2022-02-27;0;96;0;43;2;False
2022-03-06;0;86;0;44;2;False
2022-03-13;0;85;0;52;2;False
2022-03-20;0;90;0;62;2;False
2022-03-27;0;93;0;49;2;False
2022-04-03;0;79;0;52;2;False
2022-04-10;0;77;0;64;2;False
2022-04-17;0;80;0;60;2;False
2022-04-24;0;83;0;58;2;False
2022-05-01;0;89;0;65;2;False
2022-05-08;0;81;0;58;2;False
2022-05-15;0;85;0;60;2;False
2022-05-22;0;83;0;61;2;False
2022-05-29;0;85;0;72;2;False
2022-06-05;0;78;0;58;3;False
2022-06-12;0;79;0;68;2;False
2022-06-19;0;86;0;62;2;False
2022-06-26;0;98;0;58;2;False
2022-07-03;0;81;0;64;2;False
2022-07-10;0;96;0;61;3;False
2022-07-17;0;87;0;60;2;False
2022-07-24;0;99;0;63;2;False
2022-07-31;0;91;0;64;2;False
2022-08-07;0;83;0;69;2;False
2022-08-14;0;80;0;55;2;False
2022-08-21;0;98;0;59;2;False
2022-08-28;0;90;0;60;2;False
2022-09-04;0;89;0;49;2;False
2022-09-11;1;92;0;50;2;False
2022-09-18;1;91;0;47;2;False
2022-09-25;0;93;0;46;2;False
2022-10-02;0;92;0;47;2;False
2022-10-09;0;99;0;45;2;False
2022-10-16;3;89;0;43;2;False
2022-10-23;0;93;0;48;1;False
2022-10-30;0;98;1;43;1;False
2022-11-06;0;94;0;40;2;False
2022-11-13;0;90;0;39;1;False
2022-11-20;0;88;0;34;2;False
2022-11-27;0;100;0;41;2;False
2022-12-04;0;79;0;39;1;False
2022-12-11;0;96;0;38;1;False
2022-12-18;0;90;0;39;1;False
2022-12-25;0;65;0;34;2;False
2023-01-01;0;84;0;39;2;False
2023-01-08;0;82;0;36;2;False
2023-01-15;0;89;0;33;2;False
2023-01-22;5;93;0;36;2;False
2023-01-29;2;90;0;44;2;False
