date;Australia rugby union team;La Rochelle;Yayoi Kusama;nadhim zahawi;air travel;isPartial
2022-01-02;0;2;3;3;10;False
2022-01-09;0;4;3;5;11;False
2022-01-16;0;4;3;7;9;False
2022-01-23;0;3;2;4;10;False
2022-01-30;0;3;3;2;11;False
2022-02-06;0;3;2;2;11;False
2022-02-13;0;3;2;1;11;False
2022-02-20;0;3;2;1;11;False
2022-02-27;0;3;2;0;10;False
2022-03-06;0;2;4;2;10;False
2022-03-13;0;3;10;1;10;False
2022-03-20;0;3;3;1;10;False
2022-03-27;0;3;3;4;11;False
2022-04-03;0;4;2;1;10;False
2022-04-10;0;4;2;0;8;False
2022-04-17;0;5;2;2;9;False
2022-04-24;0;4;3;1;10;False
2022-05-01;0;6;2;1;10;False
2022-05-08;0;5;2;2;10;False
2022-05-15;0;10;2;1;11;False
2022-05-22;0;21;2;3;10;False
2022-05-29;0;10;1;2;10;False
2022-06-05;0;6;2;4;12;False
2022-06-12;0;7;2;1;10;False
2022-06-19;0;6;2;1;9;False
2022-06-26;0;6;2;1;10;False
2022-07-03;0;6;2;100;11;False
2022-07-10;0;7;2;31;11;False
2022-07-17;0;8;2;3;10;False
2022-07-24;0;8;2;1;10;False
2022-07-31;0;6;3;1;9;False
2022-08-07;0;7;4;2;9;False
2022-08-14;0;6;3;1;9;False
2022-08-21;0;6;3;2;8;False
2022-08-28;0;6;3;2;9;False
2022-09-04;0;5;3;8;9;False
2022-09-11;0;3;3;1;8;False
2022-09-18;0;3;3;1;8;False
2022-09-25;0;3;6;1;8;False
2022-10-02;0;3;4;6;8;False
2022-10-09;0;3;3;5;7;False
2022-10-16;0;3;3;1;7;False
2022-10-23;0;2;3;7;6;False
2022-10-30;0;2;3;1;6;False
2022-11-06;0;2;3;1;7;False
2022-11-13;0;2;3;0;6;False
2022-11-20;0;2;3;0;7;False
2022-11-27;0;2;2;0;7;False
2022-12-04;0;4;3;8;6;False
2022-12-11;0;5;2;1;6;False
2022-12-18;0;2;2;1;6;False
2022-12-25;0;3;2;0;8;False
2023-01-01;0;4;4;1;9;False
2023-01-08;0;5;7;0;8;False
2023-01-15;0;6;9;18;8;False
2023-01-22;0;4;8;38;7;False
2023-01-29;0;4;7;38;8;False
